TOPO_ID,State,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
01,Alabama,18,18,18,18,18,18,18,18,18,18,18,18,16,16,18,18,18
02,Alaska,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
04,Arizona,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
05,Arkansas,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.7,21.7,21.7,20.5,19.5
06,California,30,30,36,39.5,36,18,18,18,18,18,18,18,18,18,18,18,18
08,Colorado,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
09,Connecticut,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,32
10,Delaware,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
11,DC,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,20,20,20,20,20,20,20,20,20
12,Florida,17.3,17.3,17.1,16.9,16.6,16.2,16,16.1,15.6,15.3,14.9,14.5,14.3,10.1,13.9,13.6,13.1
13,Georgia,26,26,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
15,Hawaii,16,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16
16,Idaho,33,32,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
17,Illinois,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
18,Indiana,18,18,18,18,18,18,18,18,18,18,18,18,18,18,15,15,15
19,Iowa,31.7,30.8,21,21,21,21,21,21,21,20.7,21,20.7,20.3,20.3,20.1,20,20
20,Kansas,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,20,20
21,Kentucky,24.6,24.6,30.5,30.9,28.5,26.4,25.6,24.1,22.5,21,19.7,18.5,17.4,16.4,16.4,16.4,16.4
22,Louisiana,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
23,Maine,30,30,30,30,30,29.5,29.5,29.5,28.4,26.8,26.8,26,25,25,22,22,19
24,Maryland,33.5,32.1,27,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,24,24,23.5,23.5,23.5
25,Massachusetts,24,24,24,24,21,21,21,21,21,21,21,21,21,21,21,21,21
26,Michigan,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
27,Minnesota,28.5,28.5,28.5,28.5,28.5,28,27.5,27.1,22.5,20,20,20,20,20,20,20,20
28,Mississippi,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4
29,Missouri,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
30,Montana,27.8,27.8,27.75,27.75,27.75,27.75,27.75,27,27,27,27.75,27,28,27,27,27,27
31,Nebraska,26.7,26.1,26.4,26.3,26.2,26.3,27.1,26.4,26,27,27.1,25.3,24.8,24.6,24.5,23.9,23.9
32,Nevada,24,24,24,24,24,24,24,24,24,24,24,24,24,24.75,24.75,24.75,24.75
33,New Hampshire,23.8,23.8,23.825,19.625,19.625,19.625,18,19.63,19.63,18,18,18,18,18,19.5,19.5,19.5
34,New Jersey,37.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5
35,New Mexico,17,17,17,17,17,17,18.875,18.875,18.875,18.875,18.88,18.88,18.88,18.88,18.5,18.5,18.5
36,New York,25.1,25.9,26.45,26.65,25.85,25.05,24.35,25.15,24.45,24.65,23.95,23.25,22.65,22.05,22.6,22,29.7
37,North Carolina,34.3,36.3,36.75,37.75,35.25,35.25,32.15,30.15,30.15,29.95,30.15,27.1,24.3,24.2,22.1,24.3,22
38,North Dakota,23,23,23,23,23,23,23,23,23,23,23,23,21,21,21,21,21
39,Ohio,28,28,28,28,28,28,28,28,28,28,28,28,26,24,22,22,22
40,Oklahoma,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,17,17
41,Oregon,30,30,30,30,30,30,24,24,24,24,24,24,24,24,24,24,29
42,Pennsylvania,50.3,50.5,40.7,31.2,31.2,31.2,31.2,30,30,30,30,30,26.2,25.9,26.6,26,25.9
44,Rhode Island,33,33,32,32,32,32,32,30,30,30,30,30,30,30,29,29,29
45,South Carolina,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
46,South Dakota,30,30,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
47,Tennessee,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
48,Texas,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
49,Utah,29.4,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24,24,24.5,24.5,24.5
50,Vermont,30.7,19.2,19.2,32.97,20,20,20,20,21,19,20,20,20,20,20,20,20
51,Virginia,16.2,16.2,11.1,11.1,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5
53,Washington,49.4,44.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,34,34,31,28,23,23,23,23
54,West Virginia,33.2,34.6,35.7,34.7,33.4,32.2,32.2,32.2,32.2,31.5,27,27,25,25,25.65,25.65,25.35
55,Wisconsin,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,29.9,29,28,28,26.4,25.4
56,Wyoming,24,24,24,24,14,14,14,14,14,14,14,14,14,14,14,14,14
